url,orden_bfs,prof_fisica,pagerank,authority
https://www.unlu.edu.ar/sec-legal.html,66,1,0.00115560,0.00012228
https://www.unlu.edu.ar/sec-planea.html,67,1,0.00115560,0.00012228
https://www.unlu.edu.ar/sec-rivt.html,68,1,0.00115560,0.00012228
https://www.unlu.edu.ar/dir-administracion.html,69,1,0.00107950,0.00012240
https://www.unlu.edu.ar/dir-economico.html,70,1,0.00107950,0.00012240
https://www.unlu.edu.ar/dir-tecnica.html,71,1,0.00107950,0.00012240
https://www.unlu.edu.ar/dir-bienestar.html,72,1,0.00107950,0.00012240
https://www.unlu.edu.ar/dir-extension.html,73,1,0.00107950,0.00012240
https://www.unlu.edu.ar/dir-gestioninst.html,74,1,0.00107950,0.00012240
https://www.unlu.edu.ar/dir-generales.html,75,1,0.00107950,0.00012240
https://www.unlu.edu.ar/dir-rrhh.html,76,1,0.00107950,0.00012240
https://www.unlu.edu.ar/dir-sistemas.html,77,1,0.00107950,0.00012240
https://www.unlu.edu.ar/dir-legales.html,78,1,0.00107950,0.00012240
https://www.unlu.edu.ar/dir-cyt.html,79,1,0.00107950,0.00012240
https://www.unlu.edu.ar/dir-evalcalins.html,80,1,0.00107950,0.00012240
https://www.unlu.edu.ar/dir-relint.html,81,1,0.00107950,0.00012240
https://www.unlu.edu.ar/dir-gestionrect.html,82,1,0.00107950,0.00012240
https://www.unlu.edu.ar/dir-biblio.html,83,1,0.00107950,0.00012240
https://www.unlu.edu.ar/dir-vinculacion-comu.html,84,1,0.00107950,0.00012240
https://www.unlu.edu.ar/mapas-lujan.html,155,1,0.00107045,0.00012873
https://www.unlu.edu.ar/info-acad-tramites.html,150,1,0.00106176,0.00012903
https://www.unlu.edu.ar/carp-maestriasociales.html,124,1,0.00101025,0.00050807
https://www.unlu.edu.ar/carp-demsoc.html,125,1,0.00101025,0.00050807
https://www.unlu.edu.ar/carp-eduadultos.html,126,1,0.00101025,0.00050807
https://www.unlu.edu.ar/carp-mae-emg.html,127,1,0.00101025,0.00050807
https://www.unlu.edu.ar/carp-mge.html,129,1,0.00101025,0.00050807
https://www.unlu.edu.ar/carp-mae-giti.html,130,1,0.00101025,0.00050807
https://www.unlu.edu.ar/carp-mae-lenguas.html,131,1,0.00101025,0.00050807
https://www.unlu.edu.ar/carp-polyges.html,132,1,0.00101025,0.00050807
https://www.unlu.edu.ar/carp-espabordajes.html,134,1,0.00101025,0.00050807
https://www.unlu.edu.ar/carp-ecocuencas.html,136,1,0.00101025,0.00050807
https://www.unlu.edu.ar/carp-especialisociales.html,137,1,0.00101025,0.00050807
https://www.unlu.edu.ar/carp-espdemsoc.html,138,1,0.00101025,0.00050807
https://www.unlu.edu.ar/carp-espinfancia.html,140,1,0.00101025,0.00050807
https://www.unlu.edu.ar/carp-espedadvida.html,141,1,0.00101025,0.00050807
https://www.unlu.edu.ar/carp-emg.html,142,1,0.00101025,0.00050807
https://www.unlu.edu.ar/carp-egti.html,143,1,0.00101025,0.00050807
https://www.unlu.edu.ar/carp-especialipatrimonio.html,144,1,0.00101025,0.00050807
https://www.unlu.edu.ar/carp-espmatematica.html,147,1,0.00101025,0.00050807
https://www.unlu.edu.ar/carp-epa.html,148,1,0.00101025,0.00050807
https://www.unlu.edu.ar/carp-especialitele.html,149,1,0.00101025,0.00050807
https://www.unlu.edu.ar/carg-agronomia-pre.html,92,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carg-alimentos-pre.html,93,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carg-industrial-pre.html,94,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carg-administracion-pre.html,95,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carg-contador-pre.html,96,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carg-biologia-pre.html,97,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carg-educacion-pre.html,98,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carg-comercio-pre.html,99,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carg-fisica-pre.html,100,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carg-eduini-pre.html,101,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carg-enfermeria-pre.html,102,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carg-geografia-pre.html,103,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carg-historia-pre.html,105,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carg-ambiental-pre.html,106,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carg-matematica.html,107,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carg-sistemas-pre.html,108,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carg-trabsocial-pre.html,109,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carg-prof-biologicas-pre.html,110,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carg-prof-educacion-pre.html,111,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carg-prof-educacion-fisica-pre.html,112,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carg-prof-adultos-pre.html,113,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carg-prof-fisica-pre.html,114,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carg-prof-geografia-pre.html,115,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carg-prof-historia-pre.html,116,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carg-prof-quimica.html,117,1,0.00100536,0.00025092
https://www.unlu.edu.ar/carp-mcd.html,123,1,0.00099949,0.00038014
https://www.unlu.edu.ar/carp-maescoci.html,128,1,0.00099949,0.00038014
https://www.unlu.edu.ar/carp-mae-agrosus.html,133,1,0.00099949,0.00038014
https://www.unlu.edu.ar/carp-bioinformatica.html,135,1,0.00099949,0.00038014
https://www.unlu.edu.ar/carp-espmaltrato.html,145,1,0.00099949,0.00038014
https://www.unlu.edu.ar/carp-esp-lenguas.html,146,1,0.00099949,0.00038014
https://www.unlu.edu.ar/carp-docunlu.html,121,1,0.00097997,0.00025202
