url,prof_logica,prof_fisica,tipo
https://www.ebay.com/itm/175433465100?_trkparms=amclksrc%3DITM%26aid%3D777008%26algo%3DPERSONAL.TOPIC%26ao%3D1%26asc%3D20231108131718%26meid%3D670c3ac2e57a480cb316c5f5a8a2aadc%26pid%3D101910%26rk%3D1%26rkt%3D1%26b%3D1%26itm%3D175433465100%26pmt%3D0%26noa%3D1%26pg%3D4375194%26algv%3DFeaturedDealsV2&_trksid=p4375194.c101910.m150506&_trkparms=parentrq%3Ae82004d419e0ac7009a5bb06ffdfc4cc%7Cpageci%3A76516141-6d1d-11f1-bae7-d627ea52097a%7Ciid%3A1%7Cvlpname%3Avlp_homepage,1,2,dinamica
https://www.ebay.com/itm/354278897906?_trkparms=amclksrc%3DITM%26aid%3D777008%26algo%3DPERSONAL.TOPIC%26ao%3D1%26asc%3D20231108131718%26meid%3D670c3ac2e57a480cb316c5f5a8a2aadc%26pid%3D101910%26rk%3D1%26rkt%3D1%26b%3D1%26itm%3D354278897906%26pmt%3D0%26noa%3D1%26pg%3D4375194%26algv%3DFeaturedDealsV2&_trksid=p4375194.c101910.m150506&_trkparms=parentrq%3Ae82004d419e0ac7009a5bb06ffdfc4cc%7Cpageci%3A76516141-6d1d-11f1-bae7-d627ea52097a%7Ciid%3A1%7Cvlpname%3Avlp_homepage,1,2,dinamica
https://www.ebay.com/itm/356605653571?_trkparms=amclksrc%3DITM%26aid%3D777008%26algo%3DPERSONAL.TOPIC%26ao%3D1%26asc%3D20231108131718%26meid%3D670c3ac2e57a480cb316c5f5a8a2aadc%26pid%3D101910%26rk%3D1%26rkt%3D1%26b%3D1%26itm%3D356605653571%26pmt%3D0%26noa%3D1%26pg%3D4375194%26algv%3DFeaturedDealsV2&_trksid=p4375194.c101910.m150506&_trkparms=parentrq%3Ae82004d419e0ac7009a5bb06ffdfc4cc%7Cpageci%3A76516141-6d1d-11f1-bae7-d627ea52097a%7Ciid%3A1%7Cvlpname%3Avlp_homepage,1,2,dinamica
https://www.ebay.com/itm/363802395958?_trkparms=amclksrc%3DITM%26aid%3D777008%26algo%3DPERSONAL.TOPIC%26ao%3D1%26asc%3D20231108131718%26meid%3D670c3ac2e57a480cb316c5f5a8a2aadc%26pid%3D101910%26rk%3D1%26rkt%3D1%26b%3D1%26itm%3D363802395958%26pmt%3D0%26noa%3D1%26pg%3D4375194%26algv%3DFeaturedDealsV2&_trksid=p4375194.c101910.m150506&_trkparms=parentrq%3Ae82004d419e0ac7009a5bb06ffdfc4cc%7Cpageci%3A76516141-6d1d-11f1-bae7-d627ea52097a%7Ciid%3A1%7Cvlpname%3Avlp_homepage,1,2,dinamica
https://www.ebay.com/itm/165337813141?_trkparms=amclksrc%3DITM%26aid%3D777008%26algo%3DPERSONAL.TOPIC%26ao%3D1%26asc%3D20231108131718%26meid%3D670c3ac2e57a480cb316c5f5a8a2aadc%26pid%3D101910%26rk%3D1%26rkt%3D1%26b%3D1%26itm%3D165337813141%26pmt%3D0%26noa%3D1%26pg%3D4375194%26algv%3DFeaturedDealsV2&_trksid=p4375194.c101910.m150506&_trkparms=parentrq%3Ae82004d419e0ac7009a5bb06ffdfc4cc%7Cpageci%3A76516141-6d1d-11f1-bae7-d627ea52097a%7Ciid%3A1%7Cvlpname%3Avlp_homepage,1,2,dinamica
https://www.ebay.com/e/latam/your-items-with-free-shipping-sp?_trkparms=pageci%3A76516141-6d1d-11f1-bae7-d627ea52097a%7Cparentrq%3Ae82004d419e0ac7009a5bb06ffdfc4cc%7Ciid%3A6%7Cvlpname%3Avlp_homepage%7Cii%3Ab86f86d0-22d3-428f-b06e-b775ff55343f,1,3,dinamica
https://www.ebay.com/e/latam/your-items-with-free-shipping-sp?_trkparms=pageci%3A76516141-6d1d-11f1-bae7-d627ea52097a%7Cparentrq%3Ae82004d419e0ac7009a5bb06ffdfc4cc%7Ciid%3A6%7Cvlpname%3Avlp_homepage,1,3,dinamica
https://www.ebay.com/adchoice,1,1,estatica
https://www.ebay.com/globaldeals/hogar-y-jardin/ver-todo-en-hogar-y-jardin,2,3,estatica
https://www.ebay.com/globaldeals/featured/ropa-y-accesorios,2,3,estatica
