query,metodo,patron,total_postings,tiempo_seg
reno weather,con_skip,t1 AND t2,81,0.000041406
tobacco pipes,sin_skip,t1 AND t2,42,0.000015710
tobacco pipes,con_skip,t1 AND t2,42,0.000024718
holiday catalog,sin_skip,t1 AND t2,85,0.000024508
holiday catalog,con_skip,t1 AND t2,85,0.000044268
2005 calendar,sin_skip,t1 AND t2,1192,0.000229580
2005 calendar,con_skip,t1 AND t2,1192,0.000243405
soak city,sin_skip,t1 AND t2,760,0.000146560
soak city,con_skip,t1 AND t2,760,0.000025765
amazon books,sin_skip,t1 AND t2,344,0.000071849
amazon books,con_skip,t1 AND t2,344,0.000074083
web md,sin_skip,t1 AND t2,239,0.000058163
web md,con_skip,t1 AND t2,239,0.000087000
sarah gilbert,sin_skip,t1 AND t2,44,0.000018084
sarah gilbert,con_skip,t1 AND t2,44,0.000028139
head shops,sin_skip,t1 AND t2,6084,0.001119063
head shops,con_skip,t1 AND t2,6084,0.000492675
mini bathtub,sin_skip,t1 AND t2,20,0.000008937
mini bathtub,con_skip,t1 AND t2,20,0.000010963
bumper kit,sin_skip,t1 AND t2,44,0.000013825
bumper kit,con_skip,t1 AND t2,44,0.000018643
national archives,sin_skip,t1 AND t2,589,0.000106969
national archives,con_skip,t1 AND t2,589,0.000124775
talent agencies,sin_skip,t1 AND t2,130,0.000031491
talent agencies,con_skip,t1 AND t2,130,0.000055230
shadow waves,sin_skip,t1 AND t2,90,0.000024718
shadow waves,con_skip,t1 AND t2,90,0.000039171
swallowed magnets,sin_skip,t1 AND t2,14,0.000007261
swallowed magnets,con_skip,t1 AND t2,14,0.000009845
ft fisher,sin_skip,t1 AND t2,404,0.000076666
ft fisher,con_skip,t1 AND t2,404,0.000071848
paris hilton,sin_skip,t1 AND t2,166,0.000027440
paris hilton,con_skip,t1 AND t2,166,0.000020179
glamour magazine,sin_skip,t1 AND t2,244,0.000026742
glamour magazine,con_skip,t1 AND t2,244,0.000010823
personal checks,sin_skip,t1 AND t2,409,0.000071988
personal checks,con_skip,t1 AND t2,409,0.000056208
aol members,sin_skip,t1 AND t2,671,0.000126870
aol members,con_skip,t1 AND t2,671,0.000065216
underwater paint,sin_skip,t1 AND t2,49,0.000019900
underwater paint,con_skip,t1 AND t2,49,0.000025276
sandals vacation,sin_skip,t1 AND t2,15,0.000009985
sandals vacation,con_skip,t1 AND t2,15,0.000012359
slang pda,sin_skip,t1 AND t2,20,0.000010404
slang pda,con_skip,t1 AND t2,20,0.000012848
yahoo mail,sin_skip,t1 AND t2,67,0.000046991
yahoo mail,con_skip,t1 AND t2,67,0.000034074
american income,sin_skip,t1 AND t2,951,0.000194179
american income,con_skip,t1 AND t2,951,0.000326914
country music,sin_skip,t1 AND t2,1659,0.000426273
country music,con_skip,t1 AND t2,1659,0.000743622
yo mama,sin_skip,t1 AND t2,21,0.000018503
yo mama,con_skip,t1 AND t2,21,0.000044827
prestige bmw,sin_skip,t1 AND t2,26,0.000012499
prestige bmw,con_skip,t1 AND t2,26,0.000018084
talking deer,sin_skip,t1 AND t2,59,0.000020877
talking deer,con_skip,t1 AND t2,59,0.000028627
thomas durant,sin_skip,t1 AND t2,134,0.000030443
thomas durant,con_skip,t1 AND t2,134,0.000028977
jenny mccarthy,sin_skip,t1 AND t2,18,0.000010404
jenny mccarthy,con_skip,t1 AND t2,18,0.000014802
peking restaurant,sin_skip,t1 AND t2,52,0.000013476
peking restaurant,con_skip,t1 AND t2,52,0.000018015
texas alcohol,sin_skip,t1 AND t2,203,0.000049505
texas alcohol,con_skip,t1 AND t2,203,0.000077155
sas motto,sin_skip,t1 AND t2,57,0.000017387
sas motto,con_skip,t1 AND t2,57,0.000045804
cracker barrel,sin_skip,t1 AND t2,20,0.000011032
cracker barrel,con_skip,t1 AND t2,20,0.000010404
wood desks,sin_skip,t1 AND t2,104,0.000021436
wood desks,con_skip,t1 AND t2,104,0.000014803
richard meadows,sin_skip,t1 AND t2,129,0.000033934
richard meadows,con_skip,t1 AND t2,129,0.000034423
interviewing skills,sin_skip,t1 AND t2,75,0.000017037
interviewing skills,con_skip,t1 AND t2,75,0.000020040
donald spencer,sin_skip,t1 AND t2,117,0.000029466
donald spencer,con_skip,t1 AND t2,117,0.000053974
jeff underwood,sin_skip,t1 AND t2,25,0.000009915
jeff underwood,con_skip,t1 AND t2,25,0.000016060
heterogeneous uterus,sin_skip,t1 AND t2,5,0.000005655
heterogeneous uterus,con_skip,t1 AND t2,5,0.000007262
heat rash,sin_skip,t1 AND t2,78,0.000016897
heat rash,con_skip,t1 AND t2,78,0.000020109
sample tank,sin_skip,t1 AND t2,77,0.000021505
sample tank,con_skip,t1 AND t2,77,0.000065285
cd burning,sin_skip,t1 AND t2,245,0.000052857
cd burning,con_skip,t1 AND t2,245,0.000079669
flogging whips,sin_skip,t1 AND t2,3,0.000005655
flogging whips,con_skip,t1 AND t2,3,0.000006703
italy map,sin_skip,t1 AND t2,694,0.000140904
italy map,con_skip,t1 AND t2,694,0.000325727
motorcycle clubs,sin_skip,t1 AND t2,204,0.000043710
motorcycle clubs,con_skip,t1 AND t2,204,0.000059140
bible gateway,sin_skip,t1 AND t2,64,0.000018294
bible gateway,con_skip,t1 AND t2,64,0.000023810
