query,patron,total_postings,tiempo_seg,tiempo_seg_str
callaway golf,t1 AND t2,62,"0,000214336",0.000214336
currency exchange,t1 AND t2,98,"0,001170434",0.001170434
towson university,t1 AND t2,582,"0,001414661",0.001414661
engagement settings,t1 AND t2,59,"0,000687846",0.000687846
mary moran,t1 AND t2,83,"0,000780732",0.000780732
katie holmes,t1 AND t2,18,"0,000615841",0.000615841
urban mammoth,t1 AND t2,111,"0,000268042",0.000268042
rani mukherjee,t1 AND t2,4,"0,001186846",0.001186846
bronze age,t1 AND t2,729,"0,000399969",0.000399969
skateboarding clips,t1 AND t2,22,"0,000200648",0.000200648
honda generators,t1 AND t2,22,"0,000219016",0.000219016
medical supplies,t1 AND t2,188,"0,000241364",0.000241364
rebound movie,t1 AND t2,218,"0,000314416",0.000314416
mortgage america,t1 AND t2,256,"0,000245345",0.000245345
baby boomers,t1 AND t2,60,"0,000224463",0.000224463
heather mazur,t1 AND t2,5,"0,000182978",0.000182978
rattan chairs,t1 AND t2,10,"0,000187518",0.000187518
chris jericho,t1 AND t2,128,"0,000259103",0.000259103
baby heartbeat,t1 AND t2,60,"0,000201137",0.000201137
presidio league,t1 AND t2,260,"0,000272233",0.000272233
nick cartoon,t1 AND t2,82,"0,000210635",0.000210635
cheap tickets,t1 AND t2,53,"0,000206654",0.000206654
metallica lyrics,t1 AND t2,82,"0,000242691",0.000242691
dancing songs,t1 AND t2,308,"0,000264341",0.000264341
harbour island,t1 AND t2,187,"0,000337044",0.000337044
atlantic ga,t1 AND t2,112,"0,000217060",0.000217060
design tek,t1 AND t2,241,"0,000249955",0.000249955
prostate test,t1 AND t2,127,"0,000226977",0.000226977
mayo clinic,t1 AND t2,21,"0,000198902",0.000198902
bake beans,t1 AND t2,8,"0,000165030",0.000165030
spirit airlines,t1 AND t2,124,"0,000201207",0.000201207
perry smith,t1 AND t2,173,"0,000204558",0.000204558
verizon wireless,t1 AND t2,24,"0,000178858",0.000178858
road warrior,t1 AND t2,281,"0,000291438",0.000291438
humane society,t1 AND t2,194,"0,000211752",0.000211752
gabrielle union,t1 AND t2,185,"0,000212590",0.000212590
